Time,Comment,Scramble,Date
19.255068063735962,"",F' D2 B2 U2 L2 B F' L2 R' F L2 D2 U' R' D L B2 L F',2025-01-20 12:44:12 +0000
15.26990294456482,"",R' U' L U2 R2 U B2 F2 R2 F2 R2 D' F' D F L2 F U' L2,2025-01-27 09:03:41 +0000
30.934643983840942,"",R2 B2 D' L2 R2 U L2 B2 R2 U' F R B F' D2 R' F2 L' D2 L,2025-01-19 11:37:19 +0000
23.5222190618515,"",B2 U2 F2 L B2 L' R' D2 F2 R D' B F' L2 U L D B2 F' U,2025-01-20 10:01:06 +0000
26.861165046691895,"",R B R2 D2 F U2 R B D' F' U' L2 B2 U L2 B2 U D2 F2 B2,2025-01-20 13:06:04 +0000
19.267319917678833,"",B' U' R2 U' B2 F2 L2 D' U2 L' D' B F L D' L2 B L,2025-01-17 11:53:12 +0000
22.402958035469055,"",B' R D2 L' D L B2 L2 F2 D' L2 F2 D F2 U2 L2 F2 D B' U2,2025-01-27 11:13:50 +0000
19.199005007743835,"",L2 F2 R2 D L2 U B2 F2 L R' F' R B' R2 D' B' R B L2,2025-01-19 16:59:49 +0000
19.932990074157715,"",R2 F' D' L' B2 R' U R' D' L2 F L2 B R2 F U2 B' L2 D2,2025-01-21 11:14:18 +0000
20.105237007141113,"",F2 R2 U F2 D2 U' L2 D2 R' B' F D' R2 B2 U L R2 B' L2,2025-01-27 18:00:19 +0000
16.233516931533813,"",B U B2 D F2 L2 F2 D B' L U' R' F' R' U R2 B' D',2025-01-17 12:09:04 +0000
23.737404942512512,"",R' B' R U L' D B' R2 L2 U R2 L B2 L' U2 R2 D2 R2,2025-01-08 08:50:18 +0000
25.912696957588196,"",U R' F2 D2 B U' F U' R2 L F2 B2 R' B2 D2 F' R U',2025-01-21 14:02:40 +0000
17.633020043373108,"",U R2 D2 L R2 F L2 U2 B' D2 L2 R U F' L B U2 R',2025-01-28 11:30:21 +0000
28.03485894203186,"",B' D F' U L2 R2 U2 F2 D' U R B' D R2 F' R2 U2 B2,2025-01-19 13:41:28 +0000
22.635480046272278,"",D R2 D2 U' R2 D L2 R2 B U' R' F2 D L' F' L B' D,2025-01-21 16:19:57 +0000
25.767452001571655,"",F U2 R D' R2 U2 L2 F2 L2 B2 R2 D U L' F' R' D U' L B2,2025-01-28 14:50:35 +0000
19.934445023536682,"",F U F U D F D' B2 D' F R' U2 B' L2 D2 B2 L2 D2 B2,2025-01-09 12:18:03 +0000
24.0535409450531,"",R2 B2 R2 B2 D2 F' R2 F2 D R F' L U' R' F' L' B' U2 L2,2025-01-24 08:21:01 +0000
21.966875910758972,"",D' R F2 D B2 R2 D' U2 L2 F2 L2 B D' U' L' R U B' L D,2025-01-29 11:29:45 +0000
25.802910089492798,"",R F' D R2 L' B' R' B U B2 U L2 U D2 B2 D L U F2,2025-01-13 07:18:32 +0000
21.53427803516388,"",D B' L F2 D F2 D' L2 R2 B2 R2 U' B L D F R' B' R',2025-01-24 14:49:38 +0000
16.76806604862213,"",B' L2 F' U2 B D2 B L U F' L' B2 F D' B' F L2,2025-01-29 11:37:52 +0000
19.937452912330627,"",L B' R2 B2 U R' B U' R F D R' L F2 L' B2 L U2 D2,2025-01-17 12:00:55 +0000
24.03599202632904,"",U2 R2 L2 F' R' D' L' R2 F2 L2 U2 B L2 F2 L U' L F2,2025-01-15 07:03:01 +0000
17.132524967193604,"",F2 D2 U F2 L2 D' B2 L' B R2 F2 U' L F' D R2 B D',2025-01-20 11:32:24 +0000
27.701423048973083,"",F B' R D' L F B U F2 D R' F2 U L2 U F2 L2 D2 F2,2025-01-27 06:17:25 +0000
19.101679921150208,"",F' L2 F2 B2 U' B2 L F' R' B' D L2 U R2 B2 U2 L2 U' F',2025-01-17 18:15:06 +0000
21.617552042007446,"",B U L2 U' R' B U2 B' U2 L U' D B2 L2 D F2 R2 D' B2 R2,2025-01-19 11:33:02 +0000
18.86915099620819,"",R U2 L R' B2 R2 F2 D L2 U F L B L2 F2 R2 U F',2025-01-17 05:59:21 +0000
26.53437089920044,"",F2 L2 F2 B' D' F2 D F B2 D F2 L B2 U2 R' B2 R L',2025-01-30 08:53:37 +0000
21.901463985443115,"",U2 L2 F2 L2 B' F' U L D U B2 R' B2 L2 U' L U,2025-01-20 11:42:09 +0000
23.049764037132263,"",U' R D2 U R2 F2 D2 U' R2 F2 D' B2 L B' F' D L2 U2 L' F2,2025-01-27 06:28:06 +0000
22.45100498199463,"",L D2 B U2 L2 U2 L2 B F' R2 D' R' B D' L' B' U' F L' F2,2025-01-19 11:30:08 +0000
22.365052938461304,"",R2 D U2 R2 U B2 F2 D L' D2 L' B' L' D' U' B L' F2,2025-01-20 12:47:03 +0000
24.500810027122498,"",B' U' L' B2 L D2 L R' F2 L2 B2 F' L' U2 R2 U L B' U',2025-01-27 09:58:33 +0000
24.584046959877014,"",F' U2 B2 F U2 L2 F' R2 B2 R F' U2 B F' R D' F' U L',2025-01-19 11:28:09 +0000
21.984591960906982,"F*cking n perm",F' D F R2 U' L2 B' R2 U' L' B' L2 F U2 L2 F L2 D,2025-01-20 09:00:44 +0000
20.93338394165039,"",B2 D B' U' F U' B' L2 B' D2 L D2 R2 F2 U D2 F2 U B2 U',2025-01-20 13:08:39 +0000
21.765947937965393,"",F2 D' F2 B L2 D B U2 R2 U2 R2 B2 R F2 D2 L2 U2 D2 L,2025-01-27 11:14:45 +0000
22.666507959365845,"",L F' U2 F U2 B2 D2 L2 U2 L F2 U L B' F2 D L2 U2 B,2025-01-17 18:12:02 +0000
