,Time,Comment,Scramble,Date
11,17.734925031661987,,U2 L2 B2 D R U2 F D' L2 U B2 U R2 F2 R2 U' L' F2,2025-01-20 13:02:26 +0000
48,21.402450919151303,,R' F2 D2 B2 D' F2 D F2 R' B' F U2 F' L B2 L2 D' U',2025-01-20 13:03:12 +0000
86,23.66539001464844,,D' R2 B2 R2 U2 L2 B R' B F' D' U' B2 L' U' B2 D' R',2025-01-20 13:04:59 +0000
124,26.86116504669189,,R B R2 D2 F U2 R B D' F' U' L2 B2 U L2 B2 U D2 F2 B2,2025-01-20 13:06:04 +0000
158,20.93338394165039,,B2 D B' U' F U' B' L2 B' D2 L D2 R2 F2 U D2 F2 U B2 U',2025-01-20 13:08:39 +0000
193,22.601431012153625,,F2 D' R L' D2 F L D F B2 D2 B2 D' F2 R2 U2 D R2 D,2025-01-20 13:11:44 +0000
233,25.802152037620544,,F' R2 B2 F D2 R2 B U2 R' B L2 R2 D L R U' B2 U2 F',2025-01-21 11:09:22 +0000
269,21.56934905052185,,F2 U2 L' U2 B2 L2 F D2 B U2 R2 D' F R2 B2 D B U' B2,2025-01-21 11:10:28 +0000
15,28.33272099494934,,U' L' F B2 U B U D F U2 R L' U2 R B2 U2 L U R,2025-01-21 11:11:21 +0000
53,30.06555998325348,,F' B2 D2 L2 F2 L2 U L2 F2 U2 L' F D' L2 R' U R2 D' L2,2025-01-21 11:12:23 +0000
91,21.93236207962036,,R U2 L2 R' D2 L2 U' L2 R B' U' R2 U L F2 R,2025-01-21 11:13:22 +0000
128,19.932990074157715,,R2 F' D' L' B2 R' U R' D' L2 F L2 B R2 F U2 B' L2 D2,2025-01-21 11:14:18 +0000
161,21.132350087165836,,L' B2 L' U2 R' F2 R' F2 L2 B' L D' L2 R U' L2 D2 B' D2,2025-01-21 11:17:17 +0000
196,19.466827988624573,,R L F' R' L' B R U R2 F2 B2 U B2 D2 B2 F U F L,2025-01-21 11:19:07 +0000
236,22.632007002830505,,B D' L' B2 L B2 U2 L2 B2 F2 L U2 F' L F L2 F L2 U,2025-01-21 11:21:12 +0000
271,21.89770007133484,,D' U2 B L2 B' D2 F' D2 L B L2 B' L R' F2 U2,2025-01-21 11:22:07 +0000
20,24.401620030403137,,U' F D2 R2 D2 L' R2 B2 L F2 D U' L2 R' F2 U2 R' U2,2025-01-21 11:23:06 +0000
55,18.33370196819305,,D' F' U2 B' D2 U2 R2 U2 F' U' L' F' L' R' D2 F U2 R' F2,2025-01-21 11:23:49 +0000
